"id";"name";"cond";"vat"
"5828528";"PS3 - Lair (NEU & OVP)";"0";"0"
"5799599";"Playstation 1 - The Sword of Camelot (mit OVP) (gebraucht)";"1";"2"
"1000120";"N64 - Excitebike 64 (mit OVP) (gebraucht)";"1";"2"
"9007817";"GameBoy Advance/DS - Mega Man - Battle Network 5 Team Protoman (Modul) (gebraucht)";"1";"2"
"2079963";"Blu-Ray - What a man (NEU & OVP) (Vorbestellung: Erscheint am 09.03.12)";"0";"0"
"9073397";"Playstation 2 - World Championship Poker (nur CD) (gebraucht)";"1";"2"
"9040940";"Wii - Memory Card 64MB (1019 Block) nur fÃ¼r Game Cube Spiele";"0";"0"
"2078675";"DVD - Footloose (DVD) 2011 Min: DD5.1WS (Vorbestellung: Erscheint am 23.02.2012)";"0";"0"
"9046848";"Playstation 1 - Ein KÃ¶nigreich fÃ¼r ein Lama / The Emperor's New Groove (mit OVP) (gebraucht)";"1";"2"
"9041151";"Nintendo DS - DS Pack  Deluxe 15  whitei";"0";"0"
"5822566";"PS3 - HAZE (NEU & OVP) USK18";"0";"0"
"2081055";"DVD - KindermÃ¶rder, Der (NEU & OVP) USK18 (Vorbestellung: Erscheint am 26.04.12)";"0";"0"
"9051360";"Sinclair ZX Spectrum - Xenon (gebraucht)";"1";"2"
"2086607";NULL;"0";"0"
"5810919";"GameCube/Wii - Winnie Puuh - Kunterbunte Abenteuer (Disney) (mit OVP) (gebraucht)";"1";"2"
"2084670";"PC - Far Cry (NEU & OVP) USK18";"0";"0"
"9058455";"Playstation 2 - RTL Biathlon 2009 (mit OVP) (gebraucht)";"1";"2"
"7895";"NES - Astyanax (Modul) (US-Import) (gebraucht)";"1";"2"
"9029699";"Specials - Pokemon Tin Deck Box - 17 - Raikou  9er Box";"0";"0"
"1003156";"SNES - Bill Laimbeers Combat Basketball (Modul) (US-Import) (gebraucht)";"1";"2"
"2079895";"DVD - Thing, The -2011- Min: 99DD5.1WS [Remake] (NEU & OVP) (Vorbestellung: Erscheint am 22.03.12)";"0";"0"
"9052650";"Nintendo DS - Scribblenauts (gebraucht)";"1";"2"
"9052852";"GameCube - Konsole lila + Donkey Konga + 2 Bongo Controller + Controller (gebraucht)";"1";"2"
"5829344";"Nintendo DS - Extras Pack for DS Lite (NEU & OVP)";"0";"0"
"4730539";"Playstation 2 - Genji (nur CD) (gebraucht)";"1";"2"
"4200262";"Game Gear - Heavyweight Champ (Modul) (gebraucht)";"1";"2"
"9000052";"Playstation 2 - Wireless Controller (schwarz) (NEU & OVP)";"0";"2"
"5000342";"Dreamcast - Sega Extreme Sports (NEU & OVP)";"0";"2"
